# 国家地名信息库·地名读音
# https://dmfw.mca.gov.cn/sound.html
#
# 地名	类型	读音
# standardName	placeType	romanAlphabetSpelling

勐腊农场管理委员会上龙茵生产队	村民委员会	Měnglànóngchǎng Guǎnlǐwěiyuánhuì Shànglóngyīn Shēngchǎnduì
撒者嘎	农村居民点	Sāzhěgā
西瓦朋	山峰	Xīwǎpéng
西韶	农村居民点	Xīsháo
纳么田村民委员会	村民委员会	Nàmetián Cūnmínwěiyuánhuì
厂尚中二路	支路	Chǎngshàng Zhōng 2 Lù
九老井	农村居民点	Jiǔlǎojǐng
仙陇扎托纳依	河流	Xiānlǒngzhātuōnàyī
厂尚中街	支路	Chǎngshàng Zhōngjiē
切如扎窝	河流	Qiērúzhāwō
下枫树排	农村居民点	Xiàfēngshùpái
易武村民委员会	村民委员会	Yìwǔ Cūnmínwěiyuánhuì
溪田坑	农村居民点	Xītiánkēng
宁格亚贡	山峰	Nínggéyàgòng
南包老	农村居民点	Nánbāolǎo
折赛那久	山峰	Zhésàinàjiǔ
磨龙村民委员会	村民委员会	Mólóng Cūnmínwěiyuánhuì
厂尚中心街	支路	Chǎngshàng Zhōngxīn Jiē
拉则浪百赞姑	山峰	Lāzélàngbǎizàngū
厂尚中一路	支路	Chǎngshàng Zhōng 1 Lù
曲玛拉则浪百赞姑	山峰	Qūmǎlāzélàngbǎizàngū
曼林村民委员会	村民委员会	Mànlín Cūnmínwěiyuánhuì
安姑托东	河流	Āngūtuōdōng
大杜寨南街	支路	Dàdùzhài Nánjiē
以书卧	农村居民点	Yǐshūwò
火剪岭	农村居民点	Huǒjiǎnlǐng
格麻贡玛	河流	Gémágòngmǎ
大杜寨西路	支路	Dàdùzhài Xīlù
下白毛龙	农村居民点	Xiàbáimáolóng
热合扎茶打	山峰	Rèhézhāchádǎ
达配	农村居民点	Dápèi
郭给勒日阿	山峰	Guōgěilèrìā
勐满村民委员会	村民委员会	Měngmǎn Cūnmínwěiyuánhuì
大盘路	支路	Dàpán Lù
陇玛	河流	Lǒngmǎ
照康	农村居民点	Zhàokāng
岗西北路	支路	Gǎngxī Běilù
格麻巴玛	河流	Gémábāmǎ
大卡村民委员会	村民委员会	Dàkǎ Cūnmínwěiyuánhuì
在老上	农村居民点	Zàilǎoshàng
切如陇给岗	山峰	Qiērúlǒnggěigǎng
黄鹄村下村	农村居民点	Huánghúcūnxiàcūn
勐醒村民委员会	村民委员会	Měngxǐng Cūnmínwěiyuánhuì
地灵卡	农村居民点	Dìlíngkǎ
婆罗从勤赞姑	山峰	Póluócóngqínzàngū
韶口村下村	农村居民点	Sháokǒucūnxiàcūn
上湛	农村居民点	Shàngzhàn
岗西南路	支路	Gǎngxī Nánlù
诺扎贡玛	河流	Nuòzhāgòngmǎ
潭口庄下	农村居民点	Tánkǒuzhuāngxià
坑头龟形背	农村居民点	Kēngtóuguīxíngbèi
高前北路	支路	Gāoqián Běilù
诺扎巴玛	河流	Nuòzhābāmǎ
补蚌村民委员会	村民委员会	Bǔbàng Cūnmínwěiyuánhuì
本冷嘎	农村居民点	Běnlěnggā
福主坳	农村居民点	Fúzhǔ'ào
贡果亚陇岗	山峰	Gòngguǒyàlǒnggǎng
昂日琼雅郭果	山峰	Ángrìqióngyǎguōguǒ
曼竜代村民委员会	村民委员会	Mànlóngdài Cūnmínwěiyuánhuì
上奢奢	农村居民点	Shàngshēshē
高前街	支路	Gāoqián Jiē
赛毛踏地	山峰	Sàimáotàdì
水辋坑	农村居民点	Shuǐwǎngkēng
高前中路	支路	Gāoqián Zhōnglù
活塔杂加	山峰	Guotǎzájiā
土木卡	农村居民点	Tǔmùkǎ
诺扎窝玛	河流	Nuòzhāwōmǎ
丁元圩	农村居民点	Dīngyuánxū
下甘塘	农村居民点	Xiàgāntáng
格麻窝玛	河流	Gémáwōmǎ
坝荷村民委员会	村民委员会	Bàhé Cūnmínwěiyuánhuì
卡斗拉	农村居民点	Kǎdǒulā
高庄中心街	支路	Gāozhuāng Zhōngxīn Jiē
下居	农村居民点	Xiàjū
菌杂康筛	山峰	Jūnzákāngshāi
窝仔里	农村居民点	Wōzǐlǐ
后楼东街	支路	Hòulóu Dōngjiē
多纳冻宰尕玛	山峰	Duōnàdòngzǎigǎmǎ
勐远村民委员会	村民委员会	Měngyuǎn Cūnmínwěiyuánhuì
雾老照箐	农村居民点	Wùlǎozhàoqìng
阿孔纳涩	河流	Ākǒngnàsè
盖巴玛日	河流	Gàibāmǎrì
勐捧村民委员会	村民委员会	Měngpěng Cūnmínwěiyuánhuì
碓下丘	农村居民点	Duìxiàqiū
下奢奢	农村居民点	Xiàshēshē
雅拉达泽	山峰	Yǎlādázé
那拉翁多	山峰	Nàlāwēngduō
曼种村民委员会	村民委员会	Mànzhǒng Cūnmínwěiyuánhuì
后楼后街	支路	Hòulóu Hòujiē
盖巴玛日阿	河流	Gàibāmǎrì'ā
后楼前街	支路	Hòulóu Qiánjiē
下课堂	农村居民点	Xiàkètáng
郭给勒日阿	河流	Guōgěilerì'ā
勐哈村民委员会	村民委员会	Měnghā Cūnmínwěiyuánhuì
后楼西路	支路	Hòulóu Xīlù
阿背吉	农村居民点	Ābèijí
真巴亚娘	山峰	Zhēnbāyàniáng
能坑	农村居民点	Néngkēng
环北路	支路	Huánběi Lù
勐伴村民委员会	村民委员会	Měngbàn Cūnmínwěiyuánhuì
扎陇纳科	河流	Zhālǒngnàkē
火摆拖	农村居民点	Huǒbǎituō
安果岗	山峰	Ānguǒgǎng
大盈	农村居民点	Dàyíng
回落村民委员会	村民委员会	Huíluò Cūnmínwěiyuánhuì
紫莫啊东	山峰	Zǐmò'ādōng
船家坳	农村居民点	Chuánjiā'ào
环南路	支路	Huánnán Lù
下南塘	农村居民点	Xiànántáng
安果陀东纳	山峰	Ānguǒtuódōngnà
环土路	支路	Huántǔ Lù
小封过	农村居民点	Xiǎofēngguò
曼乃村民委员会	村民委员会	Mànnǎi Cūnmínwěiyuánhuì
加马陇巴	河流	Jiāmǎlǒngbā
罗家燕	农村居民点	Luójiāyàn
隆卡色依	河流	Lóngkǎsèyī
以特	农村居民点	Yǐtè
倚邦村民委员会	村民委员会	Yǐbāng Cūnmínwěiyuánhuì
南神岗二道街	支路	Nánshéngǎng 2 Dào Jiē
日阿仁钦松	山峰	Rì'ārénqīnsōng
南神岗二街	支路	Nánshéngǎng 2 Jiē
龙子口	农村居民点	Lóngzǐkǒu
尕同多什	山峰	Gǎtóngduōshén
万里当	农村居民点	Wàndǐdāng
景岗社区居民委员会	社区居委会（居委会）	Jǐnggǎng Shèqū Jūmínwěiyuánhuì
扎陇拉库	河流	Zhālǒnglākù
尼玛贡巴	河流	Nímǎgòngbā
曼它拉社区居民委员会	社区居委会（居委会）	Màntālā Shèqū Jūmínwěiyuánhuì
桑驰	山峰	Sāngchí
太候	农村居民点	Tàihòu
张驰	山峰	Zhāngchí
勐润社区居民委员会	社区居委会（居委会）	Měngrùn Shèqū Jūmínwěiyuánhuì
泰山庙镇	乡级行政区	Tàishānmiào Zhèn
扯都姑	农村居民点	Chědūgū
查同	河流	Chátóng
盘古乡	乡级行政区	Pángǔ Xiāng
加巧毡江	河流	Jiāqiǎozhānjiāng
勐腊县	县级行政区	Měnglà Xiàn
碧际块	农村居民点	Bìjìkuài
毡江拉米拉	河流	Zhānjiānglāmǐlā
王成四	农村居民点	Wángchéngsì
色西陇仁日阿那	河流	Sèxīlǒngrénrì'ānà
易武镇	乡级行政区	Yìwǔ Zhèn
鲁租以都	农村居民点	Lǔzūyǐdū
普通色西陇仁	河流	Pǔtōngsèxīlǒngrén
草一公托	河流	Cǎoyīgōngtuō
唐州	乡级行政区	Táng Zhōu
木苔	农村居民点	Mùtái
普通雅勤	河流	Pǔtōngyǎqín
显冈县	乡级行政区	Xiǎngāng Xiàn
好腰苏木嘎查委员会	村民委员会	Hôyarsûm Gaqaa Wěiyuánhuì
勐仑镇	乡级行政区	Měnglún Zhèn
撒角海	农村居民点	Sājiǎohǎi
包日温杜尔嘎查委员会	村民委员会	Bôr Ôndôr Gaqaa Wěiyuánhuì
小南凹	农村居民点	Xiǎonánwā
超瑙海勒斯	山	Qôninhais
上老木德	农村居民点	Shànglǎomùdé
白杨四区村民委员会	村民委员会	Báiyáng 4 Qū Cūnmínwěiyuánhuì
准翁根海拉苏	农村居民点	Juunôngnhails
毗阳镇	乡级行政区	Píyáng Zhèn
桃村村民委员会	村民委员会	Táocūn Cūnmínwěiyuánhuì
关累镇	乡级行政区	Guānlěi Zhèn
新丰嘎查委员会	村民委员会	Xīnfēng Gaqaa Wěiyuánhuì
泌西县	乡级行政区	Bìxī Xiàn
塘郎德	农村居民点	Tánglángdé
兴安嘎查委员会	村民委员会	Hingān Gaqaa Wěiyuánhuì
勐伴镇	乡级行政区	Měngbàn Zhèn
布格鲁乌拉	山	Bûgl Ûûl
周沟北	农村居民点	Zhōugōuběi
下老木德	农村居民点	Xiàlǎomùdé
王绪庄	农村居民点	Wángxùzhuāng
布谷鲁	山	Bûgl
周沟南	农村居民点	Zhōugōunán
东白音扎拉嘎	农村居民点	Dōngbayanjalag
打诺	农村居民点	Dǎnuò
王街	农村居民点	Wángjiē
巴仁翁根海拉苏	农村居民点	Barûûnôngnhails
巧冬巴玛	山谷、谷地	Qiǎodōngbāmǎ
北场	农村居民点	Běicháng / Běichǎng
图列吐嘎查委员会	村民委员会	Tuulet Gaqaa Wěiyuánhuì
上撒戈铲	农村居民点	Shàngsāgēchǎn
吴龙宝嘎查委员会	村民委员会	Wúlóngbǎo Gaqaa Wěiyuánhuì
夏赛贡玛	山谷、谷地	Xiàsàigòngmǎ
宝日拉锦乌拉	山	Bôljin Ûûl
舞阴县	乡级行政区	Wǔyīn Xiàn
必其格哈达	山	Biqig Had
下撒戈铲	农村居民点	Xiàsāgēchǎn
尕日陇琼	山谷、谷地	Gǎrìlǒngqióng
西汝南郡北义阳郡	乡级行政区	Xīrǔnánjùn Běiyìyángjùn
中杰沟	农村居民点	Zhōngjiégōu
西白音扎拉嘎	农村居民点	Xībayanjalag
中疙塔	农村居民点	Zhōnggētǎ
甲哈达嘎查委员会	村民委员会	Jiahad Gaqaa Wěiyuánhuì
拉让白陇	山谷、谷地	Lāràngbáilǒng
中撒戈铲	农村居民点	Zhōngsāgēchǎn
小赵坡村民委员会	村民委员会	Xiǎozhàopō Cūnmínwěiyuánhuì
拉拉屯嘎查委员会	村民委员会	Lālātún Gaqaa Wěiyuánhuì
东瓦屋庄	农村居民点	Dōngwǎwūzhuāng
大雨淋居民委员会	社区居委会（居委会）	Dàyǔlín Jūmínwěiyuánhuì
包鲁门楚鲁	山	Bûlman Qûlûû
拉让老陇	山谷、谷地	Lārànglǎolǒng
阿大彩	农村居民点	Ādàcǎi
瓦屋庄新村	农村居民点	Wǎwūzhuāngxīncūn
杜渠河南	农村居民点	Dùqúhénán
宝里根哈达	山	Bôlgen Had
老吕庄	农村居民点	Lǎolǚzhuāng
呼和拜兴艾里	农村居民点	Hohbaixing
夹确	山谷、谷地	Jiáquè
老康庄	农村居民点	Lǎokāngzhuāng
典文	农村居民点	Diǎnwén
二龙屯嘎查委员会	村民委员会	Èrlóngtún Gaqaa Wěiyuánhuì
西郢州	乡级行政区	Xīyǐng Zhōu
霍林嘎查委员会	村民委员会	Hûûlin Gaqaa Wěiyuánhuì
日让吾陇	山谷、谷地	Rìràngwúlǒng
马谷田镇	乡级行政区	Mǎgǔtián Zhèn
中高窑	农村居民点	Zhōnggāoyáo
对车	农村居民点	Duìchē
正寺	农村居民点	Zhèngsì
包里根达坂	山	Bôlgen Dabaa
西马贡尼措	湖泊	Xīmǎgòngnícuò
恒太号	农村居民点	Héngtàihào
后乔楼北七胡同	支路	Hòuqiáolóu Běi 7 Hútóng
木榔坑	农村居民点	Mùlángkēng
潘林港	农村居民点	Pānlíngǎng
坪石圩	农村居民点	Píngshíwéi
呼和达巴乃高勒	河流	Hoh Dabaanii Gôl
后乔楼北六胡同	支路	Hòuqiáolóu Běi 6 Hútóng
靠严山	农村居民点	Kàoyánshān
尧山湖	湖泊	Yáoshān Hú
乌布日陶来音高勒	河流	Obor Tûûrainn Gôl
谢集镇	乡级行政区	Xièjí Zhèn
上树跳	农村居民点	Shàngshùtiào
下中寮	农村居民点	Xiàzhōngliáo
一坝内湖	湖泊	Yībànèi Hú
象河乡	乡级行政区	Xiànghé Xiāng
前进街道	乡级行政区	Qiánjìn Jiēdào
里黄茅村	农村居民点	Lǐhuángmáocūn
愿池湖	湖泊	Yuànchí Hú
犁头瓯	山	Lítóu'ōu
付庄乡	乡级行政区	Fùzhuāng Xiāng
哈拉金斯布呼勒	草原	Haljan Sebhuul
弯仂	农村居民点	Wānlè
罗祖王庄	农村居民点	Luózǔwángzhuāng
云湖	湖泊	Yún Hú
醉仙洞洞穴	洞穴	Zuìxiāndòng Dòngxué
焦新庄	农村居民点	Jiāoxīnzhuāng
岗嘎乃巴拉日	戈壁	Ganganii Balar
苍头岭	农村居民点	Cāngtóulǐng
老蒙墙寺	农村居民点	Lǎoméngqiángsì
张庄寨	农村居民点	Zhāngzhuāngzhài
燕子岩	洞穴	Yànzǐ Yán
南水村民委员会	村民委员会	Nánshuǐ Cūnmínwěiyuánhuì
槽天沟	农村居民点	Cáotiāngōu
焦树棚	农村居民点	Jiāoshùpéng
一清	农村居民点	Yīqīng
嘎顺乃陶日勒格	戈壁	Gaxûûnii Torlog
乌坑口	农村居民点	Wūkēngkǒu
沙罗坵	农村居民点	Shāluóqiū
新蒙墙寺	农村居民点	Xīnméngqiángsì
后乔楼北三胡同	支路	Hòuqiáolóu Běi 3 Hútóng
瑞洪村民委员会	村民委员会	Ruìhóng Cūnmínwěiyuánhuì
上九仔岗	农村居民点	Shàngjiǔzǎigǎng
焦屯	农村居民点	Jiāotún
阿拉格乌拉	山	Alag Ûûl
李宫桥	农村居民点	Lǐgōngqiáo
后乔楼北一胡同	支路	Hòuqiáolóu Běi 1 Hútóng
柳林铺	农村居民点	Liǔlínpù
李堤口村民委员会	村民委员会	Lǐdīkǒu Cūnmínwěiyuánhuì
潼东村民委员会	村民委员会	Tóngdōng Cūnmínwěiyuánhuì
南城村	农村居民点	Nánchéngcūn
凤盘山	农村居民点	Fèngpánshān
阜阳街	次干路	Fùyáng Jiē
潼丰村民委员会	村民委员会	Tóngfēng Cūnmínwěiyuánhuì
老盆形	农村居民点	Lǎopénxíng
子源汪家	农村居民点	Zǐyuánwāngjiā
敖仑毛都乃高勒	河流	Olon Môdnii Gôl
后乔楼北二胡同	支路	Hòuqiáolóu Běi 2 Hútóng
贾楼乡	乡级行政区	Jiǎlóu Xiāng
古日本毛都乃呼都格	草原	Gurban Môdnii Hûdag
凯旋路袁庄二街	支路	Kǎixuánlù Yuánzhuāng 2 Jiē
高邑乡	乡级行政区	Gāoyì Xiāng
游州村施家	农村居民点	Yóuzhōucūnshījiā
九龙路	次干路	Jiǔlóng Lù
王仲庄	农村居民点	Wángzhòngzhuāng
上坑塘	农村居民点	Shàngkēngtáng
古日本毛都	草原	Gurban Môd
斯文岭	农村居民点	Sīwénlǐng
中蒋	农村居民点	Zhōngjiǎng
濂江路	次干路	Liánjiāng Lù
福田新农村	农村居民点	Fútiánxīnnóngcūn
查和日	山	Qahir
四脚下	农村居民点	Sìjiǎoxià
流沙嶂	山	Liúshā Zhàng
旗杆庙	农村居民点	Qígānmiào
哈伊尔脑包村民委员会	村民委员会	Hāyī'ěrnǎobāo Cūnmínwěiyuánhuì
土家涵	农村居民点	Tǔjiāhán
六十桌	山	Liùshízhuō
双柏垭	农村居民点	Shuāngbǎiyà
脉山嘴查家	农村居民点	Màishānzuǐzhājiā
九星村	农村居民点	Jiǔxīngcūn
沙畈村民委员会	村民委员会	Shāfàn Cūnmínwěiyuánhuì
平原街道	乡级行政区	Píngyuán Jiēdào
荷花垄	农村居民点	Héhuālǒng
山蒙下	农村居民点	Shānméngxià
源头村	村民委员会	Yuántóu Cūn
塘房塘	农村居民点	Tángfángtáng
白云街道	乡级行政区	Báiyún Jiēdào
游州村张家	农村居民点	Yóuzhōucūnzhāngjiā
上劣树下	农村居民点	Shànglièshùxià
香樟嘴	农村居民点	Xiāngzhāngzuǐ
东风街道	乡级行政区	Dōngfēng Jiēdào
桃花园社区	农村居民点	Táohuāyuánshèqū
龙泉西路	次干路	Lóngquán Xīlù
观刀岩	山	Guàndāoyán
鸡公包	农村居民点	Jīgōngbāo
刘口乡	乡级行政区	Liúkǒu Xiāng
下车头	农村居民点	Xiàchētóu
吾峰	农村居民点	Wúfēng
龙池山	山	Lóngchí Shān
凯旋路袁庄一街	支路	Kǎixuánlù Yuánzhuāng 1 Jiē
凯旋东街	次干路	Kǎixuándōng Jiē
武馆下	农村居民点	Wǔguǎnxià
瓦湾村	村民委员会	Wǎwān Cūn
青年路曹庄六胡同	支路	Qīngnián Lù Cáozhuāng 6 Hútóng
叶家堰	农村居民点	Yèjiāyàn
瓦源村民委员会	村民委员会	Wǎyuán Cūnmínwěiyuánhuì
上务那	农村居民点	Shàngwùnà
阿翅伍渣山尾巴	农村居民点	Āchìwǔzhāshānwěibā
付家塆	农村居民点	Fùjiāwān
双八镇	乡级行政区	Shuāngbā Zhèn
凹泥么	农村居民点	Āoníme
朱源新村	农村居民点	Zhūyuánxīncūn
下务那	农村居民点	Xiàwùnà
石湾大道	次干路	Shíwān Dàdào
大营三村民委员会	村民委员会	Dàyíngsān Cūnmínwěiyuánhuì
观堂乡	乡级行政区	Guāntáng Xiāng
背达么	农村居民点	Bèidáme
邑朵簸	农村居民点	Yìduǒbò
大营二村民委员会	村民委员会	Dàyíng'èr Cūnmínwěiyuánhuì
朱台	农村居民点	Zhūtái
现干美	农村居民点	Xiàngànměi
前堡垄脑	农村居民点	Qiánbǎolǒngnǎo
高子岭	山峰	Gāozǐ Lǐng
彭园村民委员会	村民委员会	Péngyuán Cūnmínwěiyuánhuì
普把左	农村居民点	Pǔbǎzuǒ
二岩塆	农村居民点	Èryánwān
李文楼	农村居民点	Lǐwénlóu
我旧米	农村居民点	Wǒjiùmǐ
祥下	农村居民点	Xiángxià
赵辛村民委员会	村民委员会	Zhàoxīn Cūnmínwěiyuánhuì
糯打街	农村居民点	Nuòdǎjiē
砻钩岽	山	Lónggōu Dōng
青年路曹庄八胡同	支路	Qīngnián Lù Cáozhuāng 8 Hútóng
衣且么	农村居民点	Yīqiěme
船形山	山峰	Chuánxíng Shān
向当下	农村居民点	Xiàngdāngxià
阿翅伍渣拉	农村居民点	Āchìwǔzhālā
青年路曹庄七胡同	支路	Qīngniánlù Cáozhuāng 7 Hútóng
依嗒误	农村居民点	Yīdāwù
长凤村村民委员会	村民委员会	Chángfèngcūn Cūnmínwěiyuánhuì
利么簸	农村居民点	Lìmebò
外流源	农村居民点	Wàiliúyuán
孙福集乡	乡级行政区	Sūnfújí Xiāng
依齐么	农村居民点	Yīqíme
中杨家湖	农村居民点	Zhōngyángjiāhú
小郎	农村居民点	Xiǎoláng
仓平路	次干路	Cāngpíng Lù
香山村村民委员会	村民委员会	Xiāngshāncūn Cūnmínwěiyuánhuì
望牡兰	农村居民点	Wàngmǔlán
天龙路	次干路	Tiānlóng Lù
水池铺乡	乡级行政区	Shuǐchípū Xiāng
均湖村	村民委员会	Jūnhú Cūn
野窝	农村居民点	Yěwō
食品街	次干路	Shípǐn Jiē
长渠村村民委员会	村民委员会	Chángqúcūn Cūnmínwěiyuánhuì
洒树格	农村居民点	Sǎshùgé
修田大道	次干路	Xiūtián Dàdào
青年路曹庄四胡同	支路	Qīngnián Lù Cáozhuāng 4 Hútóng
经汝山	农村居民点	Jīngrǔshān
甑盖盈	农村居民点	Zènggàiyíng
武家𡎚	农村居民点	Wǔjiāpiǎn
沈小楼	农村居民点	Shěnxiǎolóu
罗把苦	农村居民点	Luóbǎkǔ
楼木岽	山	Lóumù Dōng
大石扒村民委员会	村民委员会	Dàshípá Cūnmínwěiyuánhuì
青年路曹庄三胡同	支路	Qīngnián Lù Cáozhuāng 3 Hútóng
次武地	农村居民点	Cìwǔdì
含苞坟	农村居民点	Hánbāofén
羊中岗	山峰	Yángzhōng Gǎng
下山旦	农村居民点	Xiàshāndàn
大舍腰	农村居民点	Dàshěyāo
罗山坳	山	Luóshān'ào
小杨寨	农村居民点	Xiǎoyángzhài
李祠堂	农村居民点	Lǐcítáng
王利外	农村居民点	Wánglìwài
动天峰	山峰	Dòngtiān Fēng
过水渡	农村居民点	Guòshuǐdù
洒利木子	农村居民点	Sǎlìmùzǐ
赤刀咀	农村居民点	Chìdāozuī
杨关庙	农村居民点	Yángguānmiào
上老烧箐	农村居民点	Shànglǎoshāoqìng
阿薯各利	农村居民点	Āshǔgèlì
阿旧苦	农村居民点	Ājiùkǔ
鹅公包	山峰	Égōng Bāo
南宫排	农村居民点	Nángōngpái
阿旧苦张家	农村居民点	Ājiùkǔzhāngjiā
中山路	次干路	Zhōngshān Lù
逍遥观	山	Xiāoyáoguān
瓦渣啦	农村居民点	Wǎzhālā
长征街道	乡级行政区	Chángzhēng Jiēdào
西桍	农村居民点	Xīkū
古田大道	支路	Gǔtián Dàdào
杉利门	农村居民点	Shānlìmén
次武地下村	农村居民点	Cìwǔdìxiàcūn
青年路曹庄五胡同	支路	Qīngniánlù Cáozhuāng 5 Hútóng
施家山	农村居民点	Shījiāshān
西桍坑尾	农村居民点	Xīkūkēngwěi
株洲路	次干路	Zhūzhōu Lù
洒树咪	农村居民点	Sǎshùmī
高壁嘴	农村居民点	Gāobìzuǐ
二可把	农村居民点	Èrkěbǎ
青年路曹庄二胡同	支路	Qīngniánlù Cáozhuāng 2 Hútóng
哈森路	次干路	Hāsēn Lù
挤苴	农村居民点	Jǐjzuǒ
元山场	农村居民点	Yuánshānchǎng
过佐么	农村居民点	Guòzuǒme
建设街道	乡级行政区	Jiànshè Jiēdào
锡坑口	农村居民点	Xīkēngkǒu
洒利亨	农村居民点	Sǎlìhēng
老木达	农村居民点	Lǎomùdá
八八街道	乡级行政区	Bābā Jiēdào
里垇	农村居民点	Lǐ'ào
九井泉瀑布	瀑布	Jiǔjǐngquán Pùbù
阿南旧	农村居民点	Ānánjiù
西叉拉河	农村居民点	Xīchālāhé
朝阳溪	河流	Cháoyáng Xī
青年路曹庄一胡同	支路	Qīngnián Lù Cáozhuāng 1 Hútóng
阿舍田	农村居民点	Āshětián
白兰山路	支路	Báilánshān Lù
大胡庄村民委员会	村民委员会	Dàhúzhuāng Cūnmínwěiyuánhuì
故补子	农村居民点	Gùbǔzǐ
前乔一街	支路	Qiánqiáo 1 Jiē
里子垇	农村居民点	Lǐzǐ'ào
大树林岗	农村居民点	Dàshùlíngǎng
大营一村民委员会	村民委员会	Dàyíngyī Cūnmínwěiyuánhuì
他武	农村居民点	Tāwǔ
珠山桥	农村居民点	Zhūshānqiáo
中州街道	乡级行政区	Zhōngzhōu Jiēdào
必伞郎	农村居民点	Bìsǎnláng
力光	农村居民点	Lìguāng
猫狮寨	山	Māoshī Zhài
崔北村民委员会	村民委员会	Cuīběi Cūnmínwěiyuánhuì
杨树园	农村居民点	Yángshùyuán
衣罗亨	农村居民点	Yīluóhēng
樟树岭村	村民委员会	Zhāngshùlǐng Cūn
木西树下	农村居民点	Mùxīshùxià
黄家溪	河流	Huángjiā Xī
周集乡	乡级行政区	Zhōují Xiāng
洒利享	农村居民点	Sǎlìxiǎng
么罗寨	山	Meluó Zhài
崔南村民委员会	村民委员会	Cuīnán Cūnmínwěiyuánhuì
再堵更美	农村居民点	Zàidǔgèngměi
洒迫资掌	农村居民点	Sǎpòzīzhǎng
东江第一瀑	瀑布	Dōngjiāng Dì-1 Pù
土家庙	农村居民点	Tǔjiāmiào
龙山上	农村居民点	Lóngshānshàng
老楷堵	农村居民点	Lǎokǎidǔ
卡座	农村居民点	Kǎzuò
中麻地壕村	农村居民点	Zhōngmádìháocūn
楼子源	农村居民点	Lóuzǐyuán
田洞门前	农村居民点	Tiándòngménqián
文苑胡同	支路	Wényuàn Hútóng
上必达	农村居民点	Shàngbìdá
步云路	支路	Bùyún Lù
潜泽村	村民委员会	Qiánzé Cūn
摆衣么	农村居民点	Bǎiyīme
盈苑胡同	支路	Yíngyuàn Hútóng
瑶畈村民委员会	村民委员会	Yáofàn Cūnmínwěiyuánhuì
财富路	支路	Cáifù Lù
依启么	农村居民点	Yīqǐme
鹤鸣洞	洞穴	Hèmíng Dòng
西货场社区居民委员会	社区居委会（居委会）	Xīhuòchǎng Shèqūjūmínwěiyuánhuì
恩姿么嘎来	农村居民点	Ēnzīmegālái
门山寨	山	Ménshān Zhài
撒树配	农村居民点	Sāshùpèi
大白庄村民委员会	村民委员会	Dàbáizhuāng Cūnmínwěiyuánhuì
斗干利	农村居民点	Dòugànlì
蒙坑山	山	Méngkēng Shān
宗儒畈	农村居民点	Zōngrúfàn
利孝保	农村居民点	Lìxiàobǎo
毛家山村	农村居民点	Mojasan Dewa / Máojiāshān Cūn
新屋金家	农村居民点	Xīnwūjīnjiā
官才岭	农村居民点	Guāncáilǐng
务米长	农村居民点	Wùmǐzhǎng
上牙利村	农村居民点	Yarunang Dewa
渣苴山	农村居民点	Zhāzuǒshān
笪家庄村民委员会	村民委员会	Dájiāzhuāng Cūnmínwěiyuánhuì
立珠沟	山谷、谷地	Luchung Khog
洒树沛掌	农村居民点	Sǎshùpèizhǎng
龚家大磨塆	农村居民点	Gōngjiādàmòwān
松鹤村村民委员会	村民委员会	Sōnghècūn Cūnmínwěiyuánhuì
曲沙隆	山谷、谷地	Chuzang Khog
夏家新屋	农村居民点	Xiàjiāxīnwū
沾渡村民委员会	村民委员会	Zhāndù Cūnmínwěiyuánhuì
伍家大沟	农村居民点	Wǔjiādàgōu
珠林	农村居民点	Zhūlín
坳店村村民委员会	村民委员会	Àodiàncūn Cūnmínwěiyuánhuì
压玛洛	山谷、谷地	Yarnarlung
密川汪家	农村居民点	Mìchuānwāngjiā
大马庄东街	支路	Dàmǎzhuāng Dōngjiē
盐房口村	农村居民点	Yánfángkǒucūn
桐源陈家	农村居民点	Tóngyuánchénjiā
山南生态移民村	农村居民点	Shānnánshēngtàiyímíncūn
阿意纳	山谷、谷地	Ayunang
洪湖路	主干路	Hónghú Lù
格依鲊中村	农村居民点	Géyīzhǎzhōngcūn
于良寨社区居民委员会	社区居委会（居委会）	Yúliángzhài Shèqū Jūmínwěiyuánhuì
盐海子村	农村居民点	Yánhǎizǐcūn
新河李家	农村居民点	Xīnhélǐjiā
箬坑村	村民委员会	Ruòkēng Cūn
张湾社区居民委员会	社区居委会（居委会）	Zhāngwān Shèqū Jūmínwěiyuánhuì
西沙郎村	农村居民点	Xīshālángcūn
蒋家坊村	村民委员会	Jiǎngjiāfāng Cūn
健咀陶家	农村居民点	Jiànjǔtáojiā
各拉么村	农村居民点	Gélāmēcūn
大马庄南二街	支路	Dàmǎzhuāng Nán 2 Jiē
伍纳本村	农村居民点	Wǔnàběncūn
下邱	农村居民点	Xiàqiū
大马庄南一街	支路	Dàmǎzhuāng Nán 1 Jiē
山神湾	山谷、谷地	Labtsekhug
新发村	农村居民点	Xīnfācūn
下市桥	农村居民点	Xiàshìqiáo
汴河堤社区居民委员会	社区居委会（居委会）	Biànhédī Shèqū Jūmínwěiyuánhuì
牛石坝	农村居民点	Niúshíbà
上之木沟	山谷、谷地	Trimokhogyarnang
熊家营村	农村居民点	Xióngjiāyíngcūn
岩坞头	农村居民点	Yánwùtóu
加麻沟村	农村居民点	Dzera Dewa
这么村	农村居民点	Zhèmecūn
尕路村	农村居民点	Galungnang Dewa
永山庙	农村居民点	Yǒngshānmiào
牛栏布	农村居民点	Niúlánbù
体泉村民委员会	村民委员会	Tǐquán Cūnmínwěiyuánhuì
